体育,财经,财经,D
科技,体育,军事,E
娱乐,购物,体育,A
生活,教育,娱乐,D
军事,科技,购物,M
生活,教育,-1,E
购物,体育,其他,A
女性健康,教育,财经,D
财经,娱乐,军事,E
女性健康,科技,科技,D
军事,教育,军事,E
教育,体育,体育,D
体育,科技,财经,D
女性健康,购物,娱乐,E
其他,生活,生活,E
体育,教育,女性健康,M
娱乐,体育,其他,D
生活,体育,科技,D
教育,其他,体育,E
购物,社会,社会,M
财经,社会,娱乐,M
社会,体育,其他,A
体育,娱乐,娱乐,D
军事,财经,科技,D
购物,财经,科技,A
娱乐,社会,科技,E
女性健康,科技,科技,D
生活,女性健康,财经,M
购物,购物,-1,A
社会,军事,社会,M
社会,科技,体育,A
生活,其他,其他,E
其他,科技,科技,M
购物,教育,女性健康,D
军事,生活,女性健康,D
军事,教育,财经,D
购物,军事,生活,E
军事,体育,其他,E
科技,女性健康,体育,A
教育,娱乐,体育,A
教育,其他,科技,D
娱乐,军事,财经,M
生活,军事,科技,D
娱乐,教育,社会,E
社会,购物,教育,D
军事,其他,社会,D
教育,科技,军事,D
其他,购物,娱乐,E
女性健康,教育,军事,E
女性健康,其他,科技,D
军事,科技,购物,E
生活,其他,女性健康,A
娱乐,财经,购物,D
体育,军事,娱乐,A
娱乐,教育,女性健康,M
生活,社会,军事,A
军事,科技,教育,M
生活,女性健康,购物,M
其他,娱乐,女性健康,A
军事,其他,其他,E
娱乐,生活,女性健康,E
财经,体育,其他,A
体育,科技,科技,M
生活,社会,科技,D
娱乐,财经,财经,A
购物,科技,科技,A
购物,女性健康,体育,E
财经,体育,社会,A
体育,科技,生活,M
财经,军事,购物,A
财经,体育,军事,E
其他,军事,购物,A
购物,体育,生活,M
财经,教育,其他,E
娱乐,其他,购物,M
女性健康,其他,生活,M
社会,科技,科技,E
购物,购物,-1,M
娱乐,生活,生活,M
军事,体育,科技,D
科技,购物,体育,D
女性健康,社会,购物,M
科技,购物,购物,M
科技,购物,购物,E
购物,军事,社会,D
社会,购物,娱乐,M
其他,科技,科技,M
教育,生活,娱乐,D
娱乐,女性健康,女性健康,M
军事,社会,购物,D
社会,生活,娱乐,E
娱乐,财经,教育,E
军事,购物,购物,E
生活,女性健康,女性健康,E
科技,娱乐,娱乐,E
教育,生活,女性健康,M
娱乐,购物,生活,A
军事,购物,购物,D
其他,女性健康,娱乐,D
娱乐,体育,其他,D
军事,其他,体育,M
生活,科技,军事,D
其他,财经,体育,D
购物,科技,科技,A
